Tid,Kilopris_Fersk,Vekt_Fersk,Frosen oppalen laks_Kilopris (kr),Frosen oppalen laks_Vekt (tonn)
2005U08,16616.0,16482.0,17910.0,18471.0
2005U09,18760.0,18922.0,21188.0,21788.0
2005U10,20748.0,20791.0,22748.0,23535.0
2005U11,21738.0,21602.0,21382.0,21486.0
2005U12,21750.0,20136.0,23507.0,21964.0
2005U13,24827.0,24043.0,13597.0,14127.0
2005U14,18720.0,18590.0,20045.0,19141.0
2005U15,20115.0,19322.0,16754.0,19128.0
2005U16,16959.0,17969.0,20495.0,17699.0
2005U17,15144.0,14286.0,16234.0,17979.0
2005U18,14137.0,14629.0,14746.0,14863.0
2005U19,17993.0,15977.0,17738.0,17277.0
2005U20,18688.0,19385.0,17066.0,18410.0
2005U21,19460.0,19289.0,21558.0,20239.0
2005U22,23881.0,22000.0,26422.0,24787.0
2005U23,26728.0,25827.0,25798.0,26410.0
2005U24,22881.0,24509.0,25120.0,24174.0
2005U25,24388.0,24527.0,23677.0,24322.0
2005U26,25735.0,23597.0,14360.0,18099.0
2005U27,17600.0,18114.0,18163.0,17699.0
2005U28,17680.0,17327.0,17513.0,17933.0
2005U29,16738.0,16643.0,17129.0,17326.0
2005U30,17628.0,16023.0,13181.0,12041.0
2005U31,13902.0,14245.0,13367.0,16113.0
2005U32,16537.0,14301.0,15317.0,13618.0
2005U33,16407.0,16619.0,17935.0,16656.0
2005U34,18358.0,18927.0,20183.0,18577.0
2005U35,24160.0,22368.0,25032.0,24010.0
2005U36,27882.0,25816.0,24934.0,26236.0
2005U37,25004.0,25531.0,23740.0,23779.0
2005U38,22962.0,24421.0,22316.0,22492.0
2005U39,24342.0,23460.0,13731.0,18401.0
2005U40,15402.0,14932.0,16916.0,16564.0
2005U41,15269.0,16946.0,14905.0,14851.0
2005U42,13901.0,15004.0,15972.0,13786.0
2005U43,11722.0,17460.0,16060.0,15265.0
2005U44,13735.0,17281.0,11512.0,15822.0
2005U45,15666.0,15492.0,17359.0,18299.0
2005U46,17238.0,16792.0,17844.0,19220.0
2005U47,19604.0,17898.0,21060.0,20469.0
2005U48,24089.0,22698.0,25523.0,25260.0
2005U49,24851.0,25480.0,25979.0,24952.0
2005U50,24609.0,24679.0,24437.0,26459.0
2005U51,24833.0,23852.0,22910.0,22141.0
2005U52,24551.0,22243.0,10440.0,18480.0
2006U01,16016.0,12105.0,15342.0,14622.0
2006U02,15862.0,13511.0,10687.0,13639.0
2006U03,14487.0,12959.0,13493.0,14619.0
